# Start logging at 2022-04-06 02:07:39 Tokyo Standard Time
[07:59:42]  303devilfish: can i call you kitten on discord? @ktrZetto :)
[07:59:53]  nightbot: peepoHug Hit the follow button if you enjoy the stream so you can come back for more! 配信が面白かったらフォローしてね！
[07:59:57]  babsmcnh: Have you been called a nickname before? Or have you called ur old SOs nicknames?
[08:00:03]  haine_sense1: oh that kinda thing
[08:00:26]  chef_zack: thats fucking based
[08:00:28]  303devilfish: monkaS
[08:00:32]  mchamy: yamonkaW
[08:00:38]  mchamy: monkaW
[08:00:59]  babsmcnh: We should give zetto a nickname guys
[08:01:08]  kaeos: zooter
[08:01:12]  babsmcnh: Our lord and saviour Prayge
[08:01:27]  babsmcnh: Lmao
[08:01:27]  mchamy: lightning mcqueen?
[08:01:44]  kaeos: undeserved
[08:01:47]  nightbot: EHEHE Follow me on Twitter: https://twitter.com/ktrZetto
[08:01:59]  babsmcnh: How did you survive
[08:02:20]  babsmcnh: Nothing is truly cringe until YOU make it cringe
[08:02:27]  babsmcnh: What’s that saying
[08:02:37]  babsmcnh: With like awkwardness
[08:02:52]  mchamy: KACHOW
[08:02:52]  kaeos: reset
[08:03:13]  kaeos: "speed" "running"
[08:03:15]  babsmcnh: Yeah let’s call him lightning McQueen
[08:03:16]  303devilfish: just dodge
[08:03:24]  babsmcnh: Cuz he flashes people a bunch
[08:03:43]  haine_sense1: maybe don't stand underneath his punches
[08:03:45]  mchamy: runs over Sadge
[08:03:49]  kaeos: what are you doing
[08:03:55]  babsmcnh: ktrzetWorse
[08:04:02]  babsmcnh: Sadge
[08:04:17]  kaeos: i remember when zetto flashed me at the public swimming pool when i was an adolescent
[08:04:23]  mchamy: this is like that scene in cars where he wins the race
[08:04:31]  babsmcnh: Yeah you flash the smile a bunch
[08:04:45]  babsmcnh: Gotta contain the Colgate teeth
[08:04:52]  babsmcnh: With the mask of course
[08:05:14]  chef_zack: right he went to one of them all girls schools smh
[08:05:15]  mchamy: zetto do you know any pixar moms?
[08:05:18]  303devilfish: OMEGALUL
[08:05:23]  haine_sense1: wish zetto would flash ,e
[08:05:24]  haine_sense1: me
[08:05:25]  babsmcnh: Why did you put not flashing as second monkaHmm ?
[08:05:48]  babsmcnh: Zetto aim Sadge
[08:06:10]  babsmcnh: Imagine him playing an fps clintCry
[08:06:16]  303devilfish: my shiny teeth and me PepePls
[08:06:24]  mchamy: catJAM
[08:06:25]  babsmcnh: PepePls
[08:06:38]  babsmcnh: Zetto has Colgate teeth 🦷
[08:06:45]  303devilfish: Peach DansGame ROSALINA Kreygasm
[08:06:52]  mchamy: clintLewd
[08:07:38]  kaeos: have u ever considered that every one in your chat is an NPC
[08:07:40]  babsmcnh: No I said we would call you lightning McQueen cuz you flash people
[08:07:42]  haine_sense1: cool, 2 streams at once
[08:07:44]  babsmcnh: KACHOW
[08:08:17]  303devilfish: do you get to the cloud district very often?
[08:08:22]  babsmcnh: I am the most pepega NPC ever so that theory is not possible
[08:08:38]  haine_sense1: I've just opened another stream too
[08:08:45]  kaeos: i meant that like bc every regular kind of has a "thing"
[08:09:09]  babsmcnh: Hahaha zetto so funny MrDestructoid
[08:09:13]  haine_sense1: my 2 favourite streamers at once :)
[08:09:31]  babsmcnh: What’s my “thing”
[08:09:44]  babsmcnh: I’m curious
[08:10:01]  kaeos: mikan is in love with u platonically, haine is in love with you homosexually, babs in from the bahamas, robert is 12 years old, and i say the say 5 lines
[08:10:08]  kaeos: stuff like that
[08:10:22]  babsmcnh: WHAT THE
[08:10:26]  babsmcnh: Bahamas Sadge
[08:10:33]  cosmicmikan: LULW
[08:10:33]  chef_zack: being stupid LULW
[08:10:42]  usausachu: Lmao
[08:10:44]  babsmcnh: ZACKKKK
[08:10:48]  cosmicmikan: i love it
[08:11:09]  babsmcnh: It’s Bermuda >:(
[08:11:20]  babsmcnh: One day you’ll all remember
[08:11:22]  chef_zack: bahamas is based
[08:11:26]  babsmcnh: YOU’LL RUE THE DAY
[08:11:27]  kaeos: bulgario
[08:11:30]  babsmcnh: Bahamas I guess Sadge
[08:11:33]  kaeos: botswana
[08:11:37]  303devilfish: no LUL
[08:11:37]  babsmcnh: They still my homies
[08:11:49]  babsmcnh: THE TRIANGLE WILL EXPAND
[08:11:50]  usausachu: That’s what I was about to link
[08:11:54]  usausachu: “You’re regret it”
[08:11:55]  cosmicmikan: yes
[08:11:58]  usausachu: Ye
[08:11:59]  cosmicmikan: gj ktr
[08:12:00]  babsmcnh: Yeyeye
[08:12:02]  cosmicmikan: proud of you
[08:12:10]  babsmcnh: Smart Japan boy
[08:12:11]  ktrzetto: !define rue
[08:12:13]  nightbot: Term: 'rue': [markus] way of [saying] “[true]”
[08:12:18]  kaeos: Wow! Thanks Nightbot!
[08:12:21]  babsmcnh: LMAK
[08:12:26]  303devilfish: babs are you the reason all those ships disappeared? monkaS
[08:12:27]  cosmicmikan: THATS A THING???
[08:12:29]  cosmicmikan: WOAH
[08:12:43]  kaeos: the bahamas triangle monkaS
[08:12:43]  haine_sense1: oh, someone said I was in love with you homosexually
[08:12:51]  babsmcnh: clintNerd yes devil. None of you go on cruises in ur lifetimes
[08:12:52]  haine_sense1: I thought I heard something like that
[08:12:56]  babsmcnh: I’ll be waiting
[08:13:04]  haine_sense1: but chat had closed so was trying to find it
[08:13:25]  usausachu: Urban legend
[08:13:35]  babsmcnh: No people did go missing
[08:13:37]  babsmcnh: LMAO
[08:13:43]  laurabraus: so is it over
[08:13:45]  haine_sense1: people have gone missing there in the past but that's because there is a region of no wind there which means sailing ships can get stuck
[08:13:55]  laurabraus: COOL
[08:13:58]  babsmcnh: We have a bunch of shipwrecks on our shore
[08:14:12]  kaeos: planted evidence
[08:14:15]  babsmcnh: Shipwreck diving is a thing in Bermuda
[08:14:27]  babsmcnh: Airplanes go missing too
[08:14:44]  babsmcnh: It’s a mixture of reason but there isn’t solid evidence of one thing
[08:15:01]  babsmcnh: We will never know :) so it might be ME
[08:15:20]  babsmcnh: don’t worry you don’t have to come to Bermuda
[08:15:23]  haine_sense1: it's presumably mostly fine now though
[08:15:31]  babsmcnh: We will come to you clintNerd
[08:15:43]  303devilfish: monkaW
[08:15:44]  babsmcnh: Yeah it is airplanes avoid the region
[08:15:58]  babsmcnh: They go from above
[08:16:06]  haine_sense1: maybe there ae more green stars than you realised
[08:16:25]  babsmcnh: lol I’m enjoying that “Bermuda” is my thing too much
[08:17:01]  haine_sense1: but maybe also the green stars are actually extremely easy
[08:17:01]  kaeos: the fat star looks like thanos
[08:17:27]  kaeos: yeah the part where theyre purple
[08:17:27]  babsmcnh: Is zettos new nickname the fat star
[08:17:28]  kaeos: thats what i meant
[08:18:20]  kaeos: you should play raft with viewers
[08:18:27]  babsmcnh: Pog
[08:18:35]  babsmcnh: Or Garry’s mod
[08:18:52]  kaeos: who is garry
[08:19:06]  babsmcnh: Garry mama
[08:19:13]  kaeos: i see
[08:19:25]  babsmcnh: Got em PepePls
[08:19:38]  haine_sense1: so the green stars are supposed to be potentially difficult to find
[08:19:46]  cosmicmikan: ooh raft is fun
[08:19:50]  babsmcnh: Zetto is clutch enough to save himself from falling but pepega enough to fall off to begin with
[08:20:14]  babsmcnh: Garrys mod would be super fun with like 7 people
[08:20:23]  babsmcnh: Just get people you trust
[08:20:27]  haine_sense1: what's Garry's mod?
[08:20:27]  babsmcnh: Like me :)
[08:20:38]  haine_sense1: probably not like me :)
[08:20:49]  babsmcnh: It’s a game that has multiple games like trouble in terrorist town
[08:20:58]  kaeos: terrorists monkaS
[08:21:01]  babsmcnh: I.e. town of Salem
[08:21:19]  kaeos: just make a random selection from a pool of people you trust
[08:21:22]  kaeos: EZ Clap
[08:21:25]  babsmcnh: True
[08:21:28]  cosmicmikan: lovely
[08:21:28]  haine_sense1: so... play Mario kart
[08:21:42]  kaeos: how am i so smart
[08:21:42]  cosmicmikan: im so glad you shared that piece of information with the class ktr
[08:21:43]  babsmcnh: MK viewer races Pog
[08:22:02]  haine_sense1: @cosmicmikan very nice to know :)
[08:22:15]  kaeos: !lurk
[08:22:15]  nightbot: bye bitch
[08:22:40]  babsmcnh: we need to see the dog btw
[08:22:45]  babsmcnh: It’s been ages
[08:22:54]  babsmcnh: Oh yeah chat it’s 12:30 what should I make
[08:23:07]  babsmcnh: I just got some oven pizza monkaHmm maybe that?
[08:23:16]  chef_zack: you should make some bitches
[08:23:31]  babsmcnh: Why would I do that when I have you ktrzetD
[08:24:01]  babsmcnh: You are the multiple bitches Zack clint3
[08:24:22]  haine_sense1: @babsmcnh oven pizza - I had some of that earlier
[08:24:29]  cosmicmikan: wb
[08:24:44]  babsmcnh: sweettt - I got pizza express Americano too haine Pog
[08:25:34]  babsmcnh: No bitches only ladies here like Mikan ktrzetD
[08:26:06]  cosmicmikan: @babsmcnh makin me blush
[08:26:24]  babsmcnh: ktrzetChill all my homies deserve to blush 24/7
[08:26:50]  cosmicmikan: keep talkin like that and we'll be fam instead of just homies
[08:27:09]  babsmcnh: awwww what a cute community we got
[08:27:18]  babsmcnh: Okay time to get pizza
[08:27:21]  babsmcnh: !lurk
[08:27:22]  nightbot: bye bitch
[08:27:22]  cosmicmikan: seeya
[08:27:45]  haine_sense1: so, zetto, how thick was your shit earlier? did it hurt?
[08:28:00]  laurabraus: i also had pizza
[08:28:09]  cosmicmikan: bitch is such a good word
[08:28:13]  usausachu: Maybe “idiot”?
[08:28:15]  cosmicmikan: ooh hey @laurabraus
[08:28:23]  laurabraus: heyyyy mikan :)
[08:28:31]  laurabraus: i feel like bitch is a goo word
[08:28:31]  cosmicmikan: WutFace
[08:28:32]  cosmicmikan: WHAT
[08:28:33]  303devilfish: there were so many ways you could have worded that
[08:28:33]  laurabraus: good*
[08:28:36]  laurabraus: it's obviously sarcasm
[08:28:44]  chef_zack: out of all the things you're uncomfortable talking about, why is this the one you choose to express
[08:29:00]  haine_sense1: maybe you should try fingering yourself?
[08:29:06]  babsmcnh: Bitch is too rude, I’d prefer to be called cunt
[08:29:18]  babsmcnh: WHAT THE FUCK AM I LISTENING TO NOW
[08:29:24]  babsmcnh: IM OUTTTT OMEGALUL
[08:29:29]  haine_sense1: bye bitch has a much better ring to it
[08:29:32]  cosmicmikan: i call all my besties bitch
[08:29:44]  laurabraus: cunt seems more aggressive to me
[08:29:49]  haine_sense1: it is
[08:29:57]  303devilfish: have you considered pegging? it might help :)
[08:30:01]  babsmcnh: Nah cunt is very low key Kappa
[08:30:12]  chef_zack: OMEGALUL true
[08:30:19]  haine_sense1: I only occasionally call people cunts
[08:30:33]  haine_sense1: only the people who deserve it
[08:30:40]  303devilfish: PepeLaugh
[08:30:46]  chef_zack: this mf
[08:30:51]  cosmicmikan: oh, sweet summer child
[08:30:55]  babsmcnh: OMEGALUL
[08:31:05]  babsmcnh: No fucking way he doesn’t know
[08:31:11]  usausachu: Lmap
