# Start logging at 2022-02-20 10:08:05 Tokyo Standard Time
[10:08:05] ktrZetto is live!
[10:08:05] 2022年2月20日
[11:28:47]  saltychildofthesea: life matters my guy Prayge
[11:29:02]  darkphoeen1x: i play ff14 in my free time
[11:29:44]  laurabraus: LMAO
[11:29:44]  darkphoeen1x: i get enough sleep dw^^
[11:29:46]  laurabraus: holy crap
[11:30:01]  saltychildofthesea: gamer sleep schedule
[11:30:45]  darkphoeen1x: and i can buy Whiskey in like 15 months
[11:31:26]  saltychildofthesea: accidentally doxxed
[11:31:26]  303devilfish: can't wait to bet all my channel points on believe today :)
[11:31:52]  303devilfish: its fine i don't have any points left anyway :)
[11:31:59]  saltychildofthesea: :)
[11:33:10]  robertzarmy: @robertzarmy zamn
[11:33:20]  darkphoeen1x: i still miss time where i played Sm64 in school
[11:33:30]  saltychildofthesea: IN school?
[11:33:36]  darkphoeen1x: yes
[11:33:40]  saltychildofthesea: damn
[11:34:05]  saltychildofthesea: a keyboard schabo1Woooooow
[11:34:10]  darkphoeen1x: i didn't even got in trouble for that
[11:34:19]  chef_zack: i think the switch sports playtest is in like 30 minutes
[11:34:32]  laurabraus: but wont he get banned if he streams it or whatever
[11:35:04]  darkphoeen1x: i even played Minecraft Beta in school even with shit FPS in a broweser
[11:35:41]  chef_zack: idk what time it starts in japan though
[11:36:01]  laurabraus: omfg no way
[11:36:06]  chef_zack: based
[11:36:37]  saltychildofthesea: now bowser owns nintendo Sadge
[11:37:13]  chef_zack: i miss reggie Sadge
[11:37:23]  saltychildofthesea: john nintendo wins again Pog
[11:37:28]  darkphoeen1x: time to queue for another dungeon
[11:38:34]  chef_zack: i think roms are a great example of why people pirate
[11:38:43]  saltychildofthesea: damn my streamer talks about ethical philosophy on stream 5Head
[11:39:16]  chef_zack: "nintendo wont sell it to me, and the prices on ebay are too expensive and nintendo isnt making that money anyways so its justified"
[11:39:53]  saltychildofthesea: schabo1Pls
[11:40:44]  chisasfam: hey zetto I am going to sleep
[11:40:55]  chisasfam: gl on the runs and have a good rest of your day!
[11:41:09]  chisasfam: mata ashita :))
[11:41:18]  chisasfam: I hope it wrote it right
[11:41:20]  303devilfish: nyannPasu
[11:41:32]  laurabraus: goodnight chisa
[11:44:26]  chef_zack: LUL
[11:48:20]  saltychildofthesea: Goodopinion OMEGALUL ZETTO WHY
[11:48:41]  saltychildofthesea: good opinion OMEGALUL
[11:49:17]  saltychildofthesea: PepoThink true
[11:49:47]  saltychildofthesea: umbreonWalk you added mango emote Pog
[11:50:44]  saltychildofthesea: BatChest !
[11:51:33]  laurabraus: brb getting ice cream
[11:54:57]  laurabraus: back
[11:55:11]  303devilfish: POGGIESHD
[11:55:33]  saltychildofthesea: what type of ice cream did you get?
[11:56:29]  laurabraus: just vanilla
[11:56:49]  laurabraus: i was craving plain vanilla ice cream this week. but i usually get cookies n cream or mint chip
[11:56:56]  saltychildofthesea: Pog
[11:57:23]  saltychildofthesea: ive never had mint chip schabo1Think
[11:57:38]  saltychildofthesea: WAYTOODANK
[11:57:53]  laurabraus: what kind of ice cream do you like salty
[11:58:01]  laurabraus: zetto that was so lou holy shit
[11:58:08]  laurabraus: loud*
[11:58:32]  saltychildofthesea: pralines and cream is my go-to hyperPOGGIES
[11:58:39]  saltychildofthesea: HYPERS *
[11:58:59]  laurabraus: ive never had that before :O
[11:59:05]  saltychildofthesea: :O
[11:59:23]  laurabraus: we should trade one day. ill get pralines and you get mint
[11:59:37]  saltychildofthesea: Pog we should
[12:00:04]  saltychildofthesea: PogChamp WII SPORTS BUT NOT
[12:00:12]  nightbot: Hit the follow button if you enjoy the stream so you can come back for more! 配信が面白かったらフォローしてね！
[12:01:54]  saltychildofthesea: HYPERS not reading
[12:02:56]  laurabraus: you got this
[12:03:41]  laurabraus: WEIRD SPORT
[12:03:52]  chisasfam: You look like a child running
[12:04:04]  dinosaurus: excellent 2 heavens as one sword style
[12:04:14]  saltychildofthesea: this is swordplay from wii sports resort Pog
[12:04:21]  laurabraus: ohhhhhhhhh
[12:04:24]  laurabraus: i never played that
[12:05:28]  303devilfish: no this is Patrick
[12:05:56]  saltychildofthesea: kinda seems unfair having 2 swords against one
